id,name,latitude,longitude,website
290802041,Morant Point Lighthouse,17.9184021,-76.1843645,
290802756,Portland Lighthouse,17.7422211,-77.1576291,
291364668,منارة بيروت,33.9000392,35.4698382,
291856650,Leuchtturm Falshöft,54.7670672,9.9650675,http://www.leuchtturm-falshoeft.de/
291915007,Crinan Lighthouse,56.0912731,-5.5561339,
292606892,Schwarzer Leuchtturm,53.1866083,8.5349123,
292607038,,53.1937672,8.5185243,
292974704,,45.4407869,10.6919865,
292997524,,42.7608508,10.8775261,
293027220,,36.4000749,25.405643,
293153688,Leuchtturm Schausende,54.8617534,9.5735171,
293258283,Токаревский маяк,43.0731382,131.8431093,
293470313,Phare de la Petite Muette,48.5803709,-2.5716296,
294714575,,43.1172056,5.9291911,
295555890,Juelssand,53.6216162,9.5560747,
296911109,Phare de l'Espiguette,43.4876805,4.1417581,
297459180,,43.9900158,22.8850652,
297884112,Latarnia morska Jastarnia,54.700237,18.681619,
297930373,,44.3941575,8.9319241,
298864979,Faro di Punta Vagno,44.391973,8.9526946,
299044661,Faro di San Venerio,44.0264656,9.8493734,
299357507,Phare du Cap Blanc,43.0885338,6.362861,
299924532,McArthur's Head Lighthouse,55.7638536,-6.0477853,
300473594,Oakville Lighthouse,43.4394377,-79.665399,
300515200,,54.4157087,-4.3681062,
301240357,Buchan Ness lighthouse,57.4704426,-1.7744572,
301623088,Fischereihafen-Oberfeuer,53.5213823,8.5847618,
302061994,,35.4781944,23.5675372,
302319490,Faro di Capo d'Anzio,41.4457956,12.6217163,
302449621,Ilha Escalvada,-20.7002783,-40.4068333,
303038539,,39.9301554,9.713317,
303046595,Leuchtfeuer Ueckermünde,53.7510643,14.0700584,
303930882,,44.4174819,8.8388285,
304585668,,35.5144386,23.638591,
304589285,56,35.4782483,23.5675119,
305056632,Cape Jarvis Lighthouse,-35.6037502,138.0944804,
305265936,Elafonisi Lighthouse,35.268509,23.524154,
305588916,Cape Willoughby Lighthouse,-35.8428388,138.1327736,
307064700,,35.222714,23.6775514,
307064736,,35.2232962,23.6778355,
307378401,,11.9901989,102.3745868,
307806837,Faro de Cabo de Palos,37.6346889,-0.6902651,
309284093,,43.7682131,15.679619,
309907456,Kovalam Lighthouse,8.3828903,76.9796488,
310085225,Φάρος Κρανάης,36.7543647,22.5757735,
310478619,Crowdy Head Lighthouse,-31.8434294,152.7535728,
310513486,Old Lighthouse,54.1180041,-0.08961,
311481583,Cape Santiago Lighthouse,13.7719167,120.6530833,
311651873,Bruce Bay,46.2824331,-83.7809152,
312374758,,39.9686414,0.0278338,
312399257,Far Moll de Costa,39.9728995,0.0155796,
312538088,,54.9720267,9.7434436,
313126882,Bonnet Island Lighthouse,-42.2233011,145.2222442,
313126883,Entrance Island Lighthouse,-42.2109342,145.2155456,
313163510,Hamburger Leuchtturm,53.8720057,8.7083519,
313628643,,-33.9550156,25.6388565,
315384868,Punta de Clavitos,28.0801066,-17.3313312,
